county,year,gdays,maqi
Victoria,2017,93,332
Florence,2001,82,50
Lancaster,1987,95,339
St. Johns,1994,182,302
Jefferson,1994,156,225
Scott,1996,159,201
Worcester,2015,93,307
Washington,1998,137,25
Cheshire,2014,115,271
Richmond,2012,147,248
Robeson,1999,114,36
Androscoggin,1991,115,263
Bayamon,2006,74,306
Bucks,2021,143,179
New York,2002,165,177
Miami,2009,105,172
Coahoma,1996,36,52
Hancock,2006,93,12
San Mateo,2006,161,269
Houston,2016,107,306
Giles,1997,156,236
Coconino,2006,122,211
St. James,1999,192,282
Dodge,1986,140,133
Lincoln,2012,172,122
San Joaquin,1983,210,262
Lake,1983,233,130
Kings,1982,177,172
Carter,1987,86,128
San Juan,2020,108,306
Rensselaer,2003,172,289
Preble,1987,164,113
Caribou,1988,200,195
Norfolk,1990,109,276
Steuben,1992,41,57
Jefferson,2000,208,22
Grays Harbor,2021,80,178
Cheshire,2013,108,282
Monroe,2021,66,49
Asotin,2018,187,259
Teton,1995,80,303
Whatcom,1996,100,353
Albany,2015,93,279
Macon,2005,136,245
Perry,2002,155,222
Ohio,1982,200,133
Cabell,1986,203,205
Jackson,2018,71,107
Prince George's,1985,218,187
Worcester,2011,159,254
La Plata,2010,183,222
Tulare,1985,208,127
Perry,2005,156,100
Anchorage ,1988,148,221
Vanderburgh,2005,161,113
Fond du Lac,1993,108,169
Kenai Peninsula ,2007,58,107
LaPorte,1980,183,136
Rio Arriba,2008,45,110
McHenry,2008,100,261
Darlington,2012,147,209
McMinn,1994,115,303
Shoshone,2000,89,299
Delta,2006,63,108
Kootenai,2001,105,323
Phillips,2009,77,89
Washington,1988,201,73
Oakland,2021,101,233
Winnebago,2014,105,306
Comanche,1981,4,34
Powell,2013,66,116
Nemaha,1994,90,28
Clark,2018,122,297
Nassau,2000,114,276
Putnam,2005,152,58
Nye,2018,99,350
Carteret,2009,93,291
Columbiana,1993,200,177
Etowah,2006,129,168
Berrien,2002,203,136
Spencer,1996,119,282
Pottawattamie,2005,141,265
Johnson,2006,104,82
McLean,2013,105,303
Hamilton,2010,157,164
Sedgwick,1995,156,296
Bonner,2010,106,319
Hamilton,1993,197,118
Ellis,2006,182,168
Carson City,2005,87,342
Fresno,2007,190,22
Grays Harbor,1990,200,127
Montezuma,2000,140,215
Gibson,2000,200,262
Lancaster,1980,118,248
Bennington,1986,147,82
El Paso,2016,126,263
Fairbanks North Star ,1992,115,201
Muskogee,1996,127,320
St. John the Baptist,1989,156,297
Silver Bow,1980,112,144
Haywood,2003,147,107
Linn,2004,115,322
Harris,1999,271,120
Warren,2000,126,52
Hillsborough,2008,154,285
Nueces,2017,97,279
Allen,2009,105,318
San Juan,2003,38,117
Nye,2009,165,328
Anderson,2015,80,185
Lowndes,2001,116,30
Codington,2012,91,240
Summit,2019,115,279
Cumberland,2000,133,332
Sutter,1988,192,160
Wakulla,2018,98,304
District of Columbia,2016,129,211
Frederick,1983,203,230
Garvin,1994,116,324
Hunterdon,1992,201,288
Custer,2002,91,52
Berks,2021,133,170
Caswell,2012,136,238
Atlantic,1993,190,251
Crawford,1984,200,179
Alachua,2011,109,252
Penobscot,2003,205,310
Putnam,2017,112,339
Alexander,1994,151,280
McLennan,2003,94,20
Westchester,1989,179,297
Cocke,1981,186,209
Columbiana,2003,159,258
Russell,2009,112,214
Riverside,1986,284,63
Fairfield,1999,48,58
Mahoning,1996,177,219
Jackson,2021,70,52
Marengo,1998,47,55
Boone,1997,150,156
Powell,2007,147,95
Chittenden,1984,177,323
Colbert,1997,144,325
Plymouth,2008,89,93
Oxford,1981,173,159
Monterey,1991,126,283
San Juan,1997,101,245
Canyon,1996,89,49
St. Johns,1981,36,70
Marengo,2004,39,56
Middlesex,2018,126,168
Shasta,2006,151,252
Merced,2002,221,143
Carter,2007,112,175
Riley,2012,154,255
Middlesex,1983,254,102
Frederick,1999,169,113
Nevada,2000,208,162
Gunnison,2009,112,284
Fajardo,1990,46,20
Glynn,1980,62,231
Avery,1999,187,194
Lubbock,2009,114,313
San Juan,2010,251,237
Hanover,2011,133,149
Monongalia,1988,200,203
Citrus,2007,86,102
Richland,1990,57,71
Brewster,2007,105,289
Montezuma,2008,101,238
Silver Bow,2014,108,279
Waukesha,1983,209,279
Canyon,2016,117,256
Jefferson,1997,200,116
Bernalillo,1982,230,93
Cumberland,2007,156,227
Jefferson,2017,108,207
Lincoln,2002,66,112
Montgomery,1987,215,279
LaPorte,2011,174,288
San Joaquin,2018,308,152
Vigo,1993,179,217
Tucker,2014,90,338
Sussex,1984,187,211
Massac,1985,178,165
Hopewell City,2015,23,60
Pawnee,1996,115,180
Lee,1996,127,286
Crook,2009,131,279
Santa Rosa,2017,97,298
SONORA,2020,101,125
Edgefield,2017,84,299
Twin Falls,1988,62,45
Avery,2011,84,297
Adams,2004,100,322
Kootenai,1993,91,94
Adams,1998,159,106
BAJA CALIFORNIA NORTE,2015,174,8
Belknap,2008,101,192
Hillsborough,1990,177,220
Powell,2020,11,25
Grant,1993,48,38
Chase,2019,113,112
Stanislaus,2005,172,242
Meigs,1983,69,266
Kent,2003,197,170
Arlington,2001,195,223
Cherokee,2015,93,256
Trigg,2017,87,309
Power,2004,172,251
Ashley,2011,95,73
Morgan,2003,161,157
Barnwell,2007,119,274
Henry,2001,118,51
Tompkins,2008,150,330
Putnam,2013,66,96
Rockwall,2019,105,305
Lafourche,1996,140,299
Logan,1993,190,133
La Crosse,1985,115,103
Ozaukee,1998,200,102
Rockingham,2013,105,188
Greene,2019,90,213
Montgomery,1994,166,247
Etowah,2016,179,162
Tipton,1990,68,23
Hancock,1997,174,216
Davidson,2001,116,42
Santa Cruz,1990,111,32
Olmsted,1991,111,316
Jefferson,2020,161,231
Franklin,2016,74,325
Leon,2001,133,276
Knox,2020,80,226
Galveston,2011,207,252
Riverside,2011,320,22
Cumberland,2018,100,318
Smith,1995,187,213
Greene,1980,190,230
Kane,2007,140,285
Ouachita,2000,174,240
Washington,2003,190,165
Tioga,2013,112,326
Anne Arundel,1997,245,182
Montgomery,2017,105,305
Marion,2017,101,302
Sheboygan,1989,202,285
San Joaquin,1984,209,199
Idaho,2011,50,306
Matanuska-Susitna ,2013,114,316
Jefferson,2011,177,172
Pittsburg,2002,136,163
Delta,1991,92,130
Solano,2016,105,278
Rock,2001,161,143
Miami-Dade,1988,190,219
Florence,2017,68,247
Collier,2005,119,271
Westmoreland,1981,208,149
Penobscot,2010,90,325
Hidalgo,2002,46,88
Bexar,1980,207,233
Coffee,2019,66,107
Anderson,1995,187,217
Monroe,2001,50,45
Erie,2018,112,276
Newton,2019,90,347
Orange,1995,78,171
Adams,2017,115,213
Centre,1991,207,234
Hancock,1986,154,70
Linn,2009,153,256
Penobscot,1982,169,81
Hampton City,1992,206,257
Simpson,1997,206,261
Edgefield,1995,129,276
Thomas,2010,86,107
Carlton,2009,84,161
Lancaster,1990,164,268
Minnehaha,2012,170,243
San Juan,1996,129,206
Miami-Dade,1999,172,222
Catano,1998,131,254
Belknap,2021,84,168
San Juan,1989,35,90
Fergus,2021,61,173
Mason,2008,143,135
Spokane,1997,122,267
Gloucester,1997,216,270
Camden,1999,197,126
Albany,2016,97,266
DeKalb,1982,200,271
Gallatin,2020,159,327
Rockbridge,2014,74,236
Lenawee,2018,115,275
Jefferson,1999,206,166
Rock,1992,159,151
Walworth,2009,119,160
King William,2001,42,58
Contra Costa,2016,143,287
Buffalo,1982,148,294
Grays Harbor,1993,162,307
Orange,2007,195,245
Stearns,2004,135,292
Sainte Genevieve,2009,147,287
McKinley,1989,48,3
Montgomery,1992,37,10
Cache,2000,155,228
Iron,1995,43,57
Berkeley,1991,154,299
Cass,1999,100,314
Delaware,2010,133,138
Oneida,2004,133,204
Hamilton,2002,203,97
Lincoln,1988,226,203
Daviess,2007,147,261
Obion,2001,164,121
Onslow,1992,58,59
Trego,2001,129,280
Kent,1984,212,194
Greenville,1986,164,241
Sutter,2009,125,200
Columbia,1997,80,138
Ketchikan Gateway ,2001,74,28
Harnett,1997,47,52
Tolland,2003,150,133
Chesterfield,2005,200,134
Charleston,2011,153,223
Washington,1982,197,132
Walker,1993,58,52
Saint Louis,1989,126,294
Summit,2005,108,248
Flathead,1989,132,303
Hudson,2010,206,214
Rapides,2008,72,92
Gibson,1980,170,66
Madera,1992,179,221
Clear Creek,2009,97,38
Duval,2010,147,243
Mobile,1990,200,179
Hampton City,2007,166,267
Yolo,1996,197,270
Converse,1997,52,61
Sullivan,2001,24,107
Tulare,2008,217,61
York,2007,150,155
Billings,1982,183,230
Yuma,1994,56,36
Los Alamos,2001,53,120
Dorchester,2021,105,226
Apache,2004,49,304
Brookings,1990,138,48
Clay,1990,172,267
Hinds,2004,105,176
Cook,2003,185,77
Lee,1999,182,97
Berkshire,1980,204,224
Rockingham,2003,136,271
Lake,1992,101,186
Dawson,1996,174,164
Loudoun,2012,129,288
Williams,2015,174,300
Windham,2007,31,58
Champaign,2007,140,251
Cumberland,2013,90,285
Marion,1989,65,101
Lewis,2010,60,356
Cumberland,2017,84,316
Boise,2016,155,309
El Paso,2015,136,195
Westchester,1996,185,316
Richmond City,2008,67,355
Mono,2015,3994,321
Macon,1988,200,164
Johnston,2000,197,118
Adams,2019,61,361
La Crosse,1982,115,262
Tehama,2001,150,168
Vermillion,1994,54,59
Erie,2013,122,261
Jackson,1982,200,269
Jefferson,2006,200,97
Madison,1998,41,48
Camden,1989,220,165
Chautauqua,1984,200,163
Benton,2019,83,120
Warren,2020,100,331
Volusia,2001,136,301
Clark,1992,179,284
Jefferson,2010,166,106
Brazoria,2000,216,316
Dauphin,1993,200,250
Door,1991,228,133
Cumberland,1991,212,246
Twin Falls,2017,153,220
Madison,2014,108,169
Carter,1991,46,53
Monroe,2011,84,306
Yolo,2014,101,288
Yolo,1988,161,271
Florence,2009,80,167
Kootenai,1994,84,108
Barron,2013,65,59
Lackawanna,2015,108,240
Lea,2015,157,287
Tuscaloosa,2003,119,204
Walla Walla,1987,164,91
King William,2006,48,60
Meigs,1997,200,254
Polk,2003,82,75
Otero,1995,20,6
Anchorage ,1999,158,252
Washington,1998,54,51
Monongalia,2010,143,269
Neosho,1994,51,57
San Patricio,1982,201,236
Lincoln,1988,155,172
Wake,1989,185,217
Culpeper,2011,30,60
Kewaunee,2003,206,137
Fayette,2008,122,284
Wright,1990,58,356
Beaufort,2005,125,324
Whitley,1994,59,55
Summers,2001,139,76
Garfield,2015,108,299
Orange,2008,201,256
Davidson,1985,122,166
Stearns,2017,87,329
Nassau,1982,200,175
San Mateo,2014,99,319
Morgan,1996,209,146
Richmond City,2020,77,345
Washington,2021,139,181
Brewster,2017,100,313
Bell,1991,79,56
Jefferson,2015,136,226
Hancock,2019,84,208
Charles,2015,122,153
Fayette,2007,202,165
Kent,1982,153,270
Hartford,1995,208,289
Franklin,2012,159,171
Elko,2005,67,253
Westmoreland,2005,179,208
Houston,2006,87,18
Ector,2016,102,336
Elko,2013,83,353
Montrose,2017,74,313
Arapahoe,1984,159,204
Mesa,1983,226,301
Washington,2019,87,219
Brewster,1995,101,255
Leavenworth,2012,174,270
Washington,2015,108,282
Durham,2007,166,152
Twin Falls,2009,124,330
Merced,2013,164,139
Coos,1994,165,239
Muscogee,2009,106,238
Vilas,2006,97,177
Mohave,2021,156,271
El Paso,2016,147,198
BAJA CALIFORNIA NORTE,2019,144,5
St. John the Baptist,2016,105,347
Pennington,1992,118,302
Douglas,1991,150,311
Prowers,2007,70,344
Grays Harbor,2017,159,344
Rockingham,1993,156,28
Stillwater,1992,31,90
Albany,1993,159,297
Franklin,2002,36,61
Muskogee,2017,91,343
Orange,2007,195,245
Huntington,1990,202,85
Carroll,1990,150,152
Walworth,1998,164,113
Winnebago,2017,87,317
Palm Beach,1990,136,331
El Paso,2019,100,259
Adair,2009,95,245
Black Hawk,2021,96,238
Rosebud,2020,153,316
Erie,2002,195,169
Camden,2019,126,240
Dona Ana,1980,200,212
Brown,2003,204,256
Bennington,1992,156,206
Hopewell City,2010,39,55
Fayette,2005,98,278
Norfolk City,2002,139,246
Yalobusha,2007,126,285
Williamsburg,1996,112,195
Snohomish,2017,159,274
Grant,2007,80,328
Graves,1997,156,153
Clay,1991,166,240
Cleveland,1986,119,302
Los Angeles,1990,276,17
Garfield,1994,38,96
Tucker,2011,97,311
La Salle,2001,115,277
Wood,1987,173,284
Harrison,2003,116,60
Caddo,1998,192,240
Caswell,2010,126,234
Seneca,1991,76,23
Litchfield,2002,217,153
Manatee,1997,150,269
Madison,1989,159,213
Lancaster,2018,78,330
Wicomico,1986,218,213
Rapides,2011,102,95
Macomb,1983,218,239
Osceola,1999,136,289
Clinton,1985,105,189
Chattooga,2021,80,177
Cherokee,2015,93,256
Pike,1991,172,265
Fergus,1988,84,11
Saratoga,1991,159,235
Essex,1994,169,148
Hughes,2016,65,347
Vigo,2004,161,212
Prince George's,1981,224,164
Cook,2011,126,278
Hardin,2019,71,318
Adams,1986,143,264
Washtenaw,2019,88,294
Canadian,2002,151,271
Buncombe,2013,97,313
Caribou,2005,125,323
Hancock,1991,166,147
Cedar,1998,161,44
St. Croix,1991,108,204
Dickson,1996,54,68
Warren,1989,91,301
Kay,2002,119,242
Erie,1994,183,127
Otero,2007,84,219
Whitley,2001,41,59
Archuleta,1992,88,243
Atlantic,1986,208,241
St. Louis City,1996,200,142
Dauphin,1993,200,250
Adams,2007,140,263
Saint Louis,2021,126,218
Chemung,2003,164,322
Dona Ana,1987,200,94
Santa Clara,2014,154,268
Story,2008,71,200
Forsyth,1995,207,216
Waukesha,2003,154,226
Stearns,2007,148,294
Manistee,1987,96,326
Travis,2005,156,216
Tucker,2003,151,290
Morgan,2013,200,305
Washington,2005,119,67
Sedgwick,1996,207,277
Summit,1999,54,119
Berks,2015,119,206
Massac,1982,158,267
Jefferson,2006,112,148
Allen,1994,177,249
Clay,1981,105,111
Edgecombe,2015,77,304
Sumner,2011,143,251
Alachua,1980,177,140
Orange,2009,115,276
Kanawha,1981,146,189
Bristol City,1981,115,305
Monroe,2008,147,262
Racine,2009,161,154
Canyon,2009,72,268
Brown,1990,161,186
Graham,2006,140,104
Washington,2002,156,91
Manitowoc,1998,195,109
Broadwater,1993,70,261
Allen,1995,192,279
Loudoun,2006,192,247
Rio Blanco,2021,155,146
New Castle,1998,217,133
Santa Clara,1999,192,229
Catron,2007,86,105
Hood,2000,174,158
Pierce,2019,142,285
Champaign,2018,112,283
Madison,2016,90,87
Phillips,1992,48,60
Los Angeles,2007,213,45
Citrus,1996,80,87
Minnehaha,1992,52,60
Carolina,2004,61,49
Chelan,1988,50,42
Houston,2010,98,160
York,1988,242,188
Bronx,1992,147,178
Minnehaha,1996,58,58
Allegan,1993,200,147
Mercer,2021,112,189
Yakima,1984,205,252
Johnson,2001,151,95
Marion,2012,169,88
Roanoke,2000,177,279
Albany,2011,140,261
Placer,2015,179,236
Loudoun,2018,93,322
Lowndes,2013,118,286
San Juan,2003,135,196
Essex,2008,159,281
Miami,1998,182,113
Chittenden,2017,74,342
Gloucester,1996,192,258
Mendocino,2012,77,314
Alexander,1990,150,247
Shawnee,2000,97,70
Fairfax City,1992,74,109
Grafton,2005,133,326
Benewah,2001,93,115
McCone,2005,22,61
Douglas,1981,112,157
Stearns,1980,103,306
Mesa,2001,76,345
San Joaquin,1981,213,241
Blount,1999,217,80
Grant,2012,92,292
Plymouth,1996,108,201
Houston,1991,200,242
Pueblo,1985,62,303
Middlesex,2013,101,335
Jefferson,1988,226,128
Muscatine,2009,161,201
Lehigh,2001,204,167
Catron,1999,42,93
Posey,2016,112,148
Kauai,2017,53,362
Bergen,2000,159,283
Garfield,1996,60,100
Vilas,1995,126,335
Mayes,2006,174,235
Amador,1994,197,221
Anne Arundel,2012,192,168
Delaware,2008,133,147
Union,2007,83,306
Lehigh,2016,129,231
Caddo,1983,133,267
Knox,1999,205,207
Sainte Genevieve,2003,182,240
Cache,2021,129,185
Wilson,2013,77,217
Schoolcraft,2015,133,328
Sullivan,2002,190,112
Hancock,1995,44,61
Wabash,2015,86,351
Lenawee,1994,177,103
Elmore,2016,77,107
Koochiching,1994,93,340
New York,1983,245,3
Monongalia,1985,192,213
Siskiyou,2015,139,334
Rutland,2015,121,277
Franklin,2002,58,355
Honolulu,2007,77,360
Callaway,2017,67,225
Armstrong,2005,204,130
Shoshone,2003,108,316
Gila,2003,200,85
Wood,2003,209,181
Kankakee,1984,105,266
Laurel,2005,152,30
Union,2010,127,258
Harrison,2006,102,55
Greene,2014,87,180
Jessamine,2013,77,344
Pope,2008,81,74
Gregg,2009,126,303
Luna,1997,36,58
Schenectady,1982,182,229
Wabash,1992,177,295
Muhlenberg,1992,193,256
Jefferson,1997,204,205
Ramsey,2007,146,232
Bannock,2021,100,196
Flathead,1997,112,315
Stearns,1981,81,335
Middlesex,1989,203,204
CHIHUAHUA STATE,1994,621,134
Woodbury,1981,138,75
Butler,1990,213,150
Lamar,1987,133,182
Marion,2018,125,304
Contra Costa,2018,245,203
Bennington,2001,169,184
Queens,1980,278,144
Solano,2014,124,254
Covington City,1997,53,59
Baker,2013,94,295
Sarpy,2017,96,262
Beauregard,1999,151,281
Gregg,2006,161,268
Scioto,2020,92,361
Tippecanoe,2009,96,150
Larimer,1994,143,238
Tangipahoa,2007,89,74
Pike,2007,147,175
Bergen,1990,212,191
Washington,1980,185,180
Clinton,2004,129,168
Burlington,1984,225,184
Brown,2009,131,222
Wythe,2002,169,124
Monmouth,2020,93,209
Martin,2020,49,302
Webb,2020,160,268
Madison,1999,187,101
Neosho,2010,47,61
Lee,1989,154,310
Bossier,1986,177,274
Pike,1989,85,46
Watauga,1994,35,37
Alamosa,1996,87,319
Culpeper,1995,49,60
Genesee,2007,161,202
Gunnison,2009,112,284
Los Alamos,2020,53,100
Davis,2000,214,229
St. John the Baptist,2008,112,315
Person,2006,129,119
Walker,1998,50,46
Inyo,2014,911,233
Caldwell,2021,77,158
Fairfax,2021,129,168
Somerset,2021,90,218
Brooke,2008,171,172
Macon,2016,123,293
Rockbridge,2020,49,264
Fayette,2012,200,265
Giles,2003,169,261
Vernon,1994,115,198
Hancock,1987,205,85
Polk,1994,119,213
Lemhi,1991,96,25
Osage,2021,100,223
Archuleta,1986,139,140
Kauai,1987,35,53
Matanuska-Susitna ,2009,103,111
Hopewell City,2007,39,58
Hancock,1985,192,311
Wright,1994,54,363
Clark,1996,172,145
Carroll,2009,37,47
Pike,2001,53,59
Columbiana,1981,200,93
Shelby,2019,148,239
Dawson,1987,203,118
Lewis,2007,26,116
Lake,1989,200,130
Erie,1986,185,46
Crow Wing,2012,98,307
Mayes,1994,52,49
New London,1992,190,289
Waukesha,2011,115,193
Guilford,1999,185,136
Merrimack,1986,200,170
Jefferson,2005,159,116
Harrison,1984,200,266
Hampden,1985,242,111
Geauga,2002,218,107
Tompkins,1999,150,258
Oconee,2004,147,277
Hancock,2013,87,218
Chatham,1993,71,349
Rockingham,2019,84,207
Ozaukee,1980,246,154
Onondaga,1987,208,217
Richmond City,2002,138,158
Garfield,2005,46,113
Jackson,1998,126,284
Norfolk,2004,187,212
Bucks,2014,172,206
Middlesex,1985,248,204
Aroostook,1990,166,186
Schuylkill,1995,111,339
Hudson,1995,209,225
Piscataquis,1998,115,161
Logan,1991,179,146
Ponce,1989,83,43
Marshall,1999,200,128
Custer,2011,75,100
Aleutians East ,2013,35,105
Scott,2001,83,64
Pike,1995,200,253
Charleston,2001,108,178
Grenada,2007,85,62
Putnam,1993,129,316
Jefferson,1985,202,193
Lake,2012,203,192
Dearborn,2000,200,276
Kent,2004,172,142
Luna,2010,420,342
Routt,1997,82,318
Campbell,1992,147,229
Davidson,1997,57,59
Kootenai,2001,105,323
Wayne,1997,200,128
Washington,2014,119,312
Saint Louis,1987,259,54
Geauga,2020,100,214
Wake,2009,112,219
Carter,2005,154,165
Itasca,2000,125,13
Guayama,2021,41,34
Bossier,1999,185,250
Lycoming,2019,74,340
Warrick,2004,187,182
San Luis Obispo,1999,143,155
Jasper,1999,106,59
Prowers,1991,185,48
Hamblen,1993,8,2
Andrew,2019,80,227
Lynchburg City,2000,105,29
Muscogee,1985,129,199
Sweetwater,1999,63,58
Chesterfield,2004,154,254
Madison,1998,197,90
Russell,2012,101,207
Cumberland,2003,157,161
Manatee,2000,156,242
Blair,1997,203,228
White,1989,65,29
Haywood,1995,164,97
BAJA CALIFORNIA NORTE,1994,83,8
Ford,2000,44,59
Pinellas,2011,136,268
Monroe,2014,77,273
McDowell,1993,62,48
Scott,1997,115,167
Hancock,1985,200,48
Mason,2012,156,131
Clermont,2007,169,129
Wallowa,2016,75,326
Polk,2020,84,336
Rutherford,1995,136,151
Thurston,2019,71,323
Hampton City,1984,179,236
Deschutes,2019,153,341
Lauderdale,2005,156,161
Monroe,2000,147,261
Harney,2009,95,261
Davie,2011,119,141
Arlington,1989,190,235
Sussex,2001,201,138
Washington,1997,54,49
Deschutes,2006,86,325
Santa Cruz,2019,120,280
Florence,2020,95,334
Hancock,1982,187,167
Richmond City,1995,107,292
Grand Forks,1990,232,201
Clackamas,1992,182,147
Passaic,1994,81,53
Montgomery,1989,112,227
Watauga,1994,35,37
McClain,1994,129,321
Hamilton,2002,172,120
Talladega,2017,70,92
Elbert,1999,46,67
Teton,1994,90,300
Allen,1997,161,293
Newport News City,1981,75,335
McClain,1992,129,308
Clarke,2014,92,239
Bell,2002,182,145
Fulton,1988,233,142
Maricopa,2009,319,84
Elko,2002,130,315
Colusa,1986,156,107
Columbus,1985,106,336
Manatee,1980,200,337
Columbus,1988,152,282
Mercer,2016,143,264
Franklin,2004,49,16
Kay,1985,200,205
Bucks,2011,156,196
Washington,2005,179,140
Jefferson,2017,133,248
Roanoke City,1985,68,17
Kings,1982,164,76
Madera,1995,192,222
Washington,2019,126,322
Liberty,2004,108,310
Richmond City,2008,67,355
Barnstable,2010,151,224
Tulare,2013,201,61
Greenlee,1985,33,37
Columbiana,2009,143,298
Blaine,2017,162,203
Washoe,1990,206,144
Maricopa,2006,179,27
Cook,2007,85,318
Holmes,2006,154,278
Cochise,2019,97,266
Riverside,2011,320,22
Anoka,2019,122,315
Cabell,2017,101,251
Clark,2003,129,155
Perry,2021,97,242
Guayama,2011,91,348
York,1985,195,199
Los Alamos,1991,122,258
Clark,1988,219,68
Baltimore,2016,204,236
Douglas,1999,129,111
Mercer,2018,115,279
Union,2013,107,235
Windham,2019,40,104
Androscoggin,2004,143,162
Orange,1985,143,338
Howard,2018,108,293
Penobscot,1994,150,296
Montgomery,1990,166,280
Roosevelt,2006,75,112
Monroe,1988,65,55
Guayama,1981,61,134
Greene,1990,59,108
Grant,2013,71,346
Pulaski,1983,182,256
Jefferson,1987,377,52
Lawrence,1982,143,266
Adams,2015,161,325
Johnson,1999,104,67
St. Clair,1993,177,224
Berkshire,2006,140,228
Thurston,1989,87,156
Medina,1982,164,302
Clallam,2004,76,302
Maricopa,1997,370,31
Lake,1988,71,356
Monroe,1994,76,53
Pike,2001,164,263
Ward,2010,71,88
Wake,2018,90,246
McLean,1993,149,351
Tioga,2011,112,249
Geauga,2014,122,176
Frederick,1983,203,230
Ascension,2006,169,267
Rutland,1987,115,162
Guayama,2010,170,347
Fergus,2014,135,350
Tulsa,2009,172,146
Hudson,2008,161,127
SONORA,2009,210,33
Eau Claire,2017,85,324
Penobscot,2014,76,340
Saratoga,1992,174,325
Missoula,2014,157,222
Watauga,1997,46,61
Manati,1991,75,44
Jackson,1993,126,315
Buchanan,2016,95,307
Tuscola,2004,154,307
Stafford,1998,206,104
Northampton,1989,159,118
Yakima,1983,118,142
Lafourche,2021,84,226
Blair,2012,161,206
Clackamas,1980,143,349
Jasper,2007,92,355
McMinn,1988,171,303
Rosebud,2008,105,355
Benton,2014,115,344
Scott,2020,121,335
Cache,2014,141,307
Essex,1999,207,152
Chelan,2014,153,275
Clark,2003,126,242
Smyth,1994,44,61
Uinta,2010,135,286
Pike,1998,172,146
Knox,2021,112,199
Chaves,2002,66,111
East Baton Rouge,1992,203,212
Flathead,1986,153,32
Clark,2017,105,266
Stearns,1998,44,355
New Castle,2002,217,78
Kootenai,1995,63,108
Polk,2017,143,295
Yavapai,2008,101,123
Grant,2002,83,70
Washington,2014,101,314
Benton,1987,64,144
Washington,2002,185,136
Nassau,1989,200,265
Bonner,2011,37,340
Saint Louis,2008,126,159
Rockbridge,2012,115,232
Jefferson,2007,159,103
Hamilton,2018,97,346
Richmond,2009,150,254
Crawford,1986,200,245
Knox,1993,200,224
Cloud,1997,33,51
Alamosa,2018,235,351
Elbert,2008,45,60
Delaware,2021,77,191
Boone,1985,183,180
Latah,2003,34,25
Catawba,2002,114,50
Ravalli,2012,286,257
Ottawa,2002,182,135
Orange,2021,100,124
Jefferson,2011,129,343
Wood,1991,212,138
West Baton Rouge,1990,220,210
Lowndes,2002,95,31
Bronx,1999,201,165
Prince George's,1987,220,197
Scioto,1996,81,357
Ohio,2002,185,191
West Baton Rouge,1996,190,252
Richland,2004,182,134
Peoria,1995,163,215
Pittsburg,1999,93,38
Mobile,1997,167,181
New Brunswick,2000,90,177
Valencia,1993,105,315
Porter,2017,136,283
Morgan,1988,108,37
Halifax,1994,44,56
Lake,1995,206,161
Perry,1992,156,246
Monongalia,1987,180,197
McMinn,1995,115,314
Union,1999,115,300
Harford,1987,248,235
Fairfax City,1986,200,201
Cheshire,2011,134,251
Billings,2019,84,354
Mobile,2018,105,290
Lake,2012,108,326
Kanawha,1991,200,200
Harford,2018,150,281
Bernalillo,1993,107,208
Champaign,1992,156,318
Jefferson,1988,232,158
Herkimer,1997,122,334
Fredericksburg City,2004,44,59
Sherburne,1995,74,351
Steuben,2010,100,297
Adams,1997,119,317
Imperial,1989,572,268
Butte,2018,445,152
Ulster,1997,159,304
Highlands,2016,87,347
Pennington,2000,247,266
Westchester,2011,182,263
Adams,2017,129,292
Edgefield,2004,154,273
Carroll,2002,34,57
Walton,2008,101,172
Marin,2000,61,359
Talladega,2010,76,64
Lancaster,2013,142,205
Davidson,1995,187,223
Tompkins,2001,151,278
Ellis,2008,58,108
Onondaga,1982,197,166
Van Buren,1992,166,344
Fresno,2019,187,139
Salem City,2020,66,106
District of Columbia,2010,187,180
Becker,2011,100,329
Umatilla,1995,67,197
St. Johns,1983,24,140
McLean,1995,195,111
Greenup,1986,143,158
Elmore,2014,84,224
Cleveland,1982,108,242
Eau Claire,2016,84,317
Franklin,1998,53,119
Davidson,1987,169,150
Hancock,2020,88,288
Fairfax,2020,100,313
Custer,2011,75,100
Mayes,2019,100,351
Monterey,2007,100,350
Kootenai,1991,345,76
Marin,2019,133,337
Ozaukee,1981,208,280
Humboldt,1989,69,337
Rock,2009,99,85
Missaukee,1999,182,118
Coos,2013,119,279
Cass,2001,126,159
Gallatin,2013,76,334
Berrien,2001,192,132
Richmond,2020,108,319
Washtenaw,2015,99,272
Hancock,1991,200,30
Lee,2016,100,279
Saint Louis,2010,101,297
Philadelphia,1985,235,65
Teton,1991,67,304
Miller,2002,116,64
Eddy,2011,119,224
Pope,2007,104,63
Westchester,1993,182,312
Dona Ana,1989,200,79
Merrimack,1989,201,179
Santa Fe,1990,50,365
Knox,2000,207,138
Orange,1999,209,141
Union,2000,162,116
Mobile,2007,164,261
Rensselaer,1983,179,227
Chelan,1993,54,47
SONORA,2009,210,33
Washington,1998,154,115
Fresno,2009,200,109
Marion,1992,93,77
Pierce,2013,113,274
McClain,1994,129,321
Blair,2011,159,208
Buchanan,1985,86,156
Coconino,2020,93,308
King,2013,149,216
Phillips,2010,75,64
Lewis and Clark,1990,200,69
Caddo,2014,100,306
Nowata,2018,97,274
Montgomery,2008,147,253
Franklin,2003,100,327
Palm Beach,1994,152,304
Ohio,1985,190,118
Catawba,2019,71,298
